"GUIDE_A","GUIDE_B","GUIDE_C","GUIDE_D","RELTRAD","RELPER","IDEO","PARTY","WEIGHT","RELTRADlabels","PARTYlabels"
"Extremely important",1,1,4,1100,1,1,1,3216.88285648534,"Evangelical Protestant","Republican"
"Extremely important",1,1,3,1100,1,2,3,659.565608836721,"Evangelical Protestant","Independent"
"Somewhat important",1,1,1,90002,3,3,2,1132.96557515287,"Other Faiths","Democrat"
"Not at all important",1,1,1,1200,3,3,2,18279.5073483626,"Mainline Protestant","Democrat"
"Somewhat important",1,2,1,100000,4,3,3,1723.52037779147,"Religiously Unaffiliated","Independent"
"Extremely important",2,2,3,1100,2,2,1,2540.93166753729,"Evangelical Protestant","Republican"
"Not too important",1,1,1,100000,4,2,1,2010.40103023844,"Religiously Unaffiliated","Republican"
"Somewhat important",1,1,2,10000,3,3,4,9897.74389429556,"Catholic","Something else"
"Very important",2,2,1,1200,2,3,3,334.445675736032,"Mainline Protestant","Independent"
"Somewhat important",1,1,1,100000,3,5,2,4407.73528131384,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,1100,2,3,3,11060.5546337245,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,1200,2,3,1,1736.24595119763,"Mainline Protestant","Republican"
"Not at all important",1,1,1,100000,4,4,2,4653.38153335587,"Religiously Unaffiliated","Democrat"
"Very important",2,2,3,1100,2,1,1,2803.64710372266,"Evangelical Protestant","Republican"
"Extremely important",1,1,2,1100,3,3,3,1772.95416933445,"Evangelical Protestant","Independent"
"Not too important",2,2,2,100000,3,4,3,7237.35576461702,"Religiously Unaffiliated","Independent"
"Somewhat important",1,2,1,10000,2,3,2,8905.94851301825,"Catholic","Democrat"
"Very important",2,2,3,10000,2,2,1,9108.26413580501,"Catholic","Republican"
"Extremely important",1,1,3,1100,1,1,2,5687.63272701455,"Evangelical Protestant","Democrat"
"Not at all important",1,1,1,100000,4,4,2,2016.04243256692,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,1200,1,1,3,2384.30510901845,"Mainline Protestant","Independent"
"Very important",1,1,1,1100,2,2,1,13299.5660524381,"Evangelical Protestant","Republican"
"Somewhat important",2,2,2,10000,1,3,2,708.31160078256,"Catholic","Democrat"
"Not too important",2,1,1,100000,3,4,2,3010.09520512274,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,10000,1,3,2,6365.62332673846,"Catholic","Democrat"
"Extremely important",2,1,3,1100,1,2,1,3114.08748663887,"Evangelical Protestant","Republican"
"Not too important",2,1,1,10000,3,5,2,9756.82643085583,"Catholic","Democrat"
"Not at all important",2,2,2,10000,4,3,2,20003.6120309095,"Catholic","Democrat"
"Very important",2,2,2,1100,2,2,3,13576.9434246635,"Evangelical Protestant","Independent"
"Very important",2,1,2,1100,2,4,2,1700.21233233842,"Evangelical Protestant","Democrat"
"Not at all important",1,1,1,100000,4,5,2,8664.23609359374,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,1200,2,2,2,16173.3275036028,"Mainline Protestant","Democrat"
"Somewhat important",1,2,2,10000,3,3,1,5480.73902950392,"Catholic","Republican"
"Somewhat important",2,1,3,100000,4,3,4,3600.95091272716,"Religiously Unaffiliated","Something else"
"Very important",2,2,2,10000,2,3,2,10173.4921552638,"Catholic","Democrat"
"Very important",2,1,2,40002,1,5,3,6244.9657577686,"Other Christian","Independent"
"Very important",1,1,1,1100,2,4,2,5157.75819134528,"Evangelical Protestant","Democrat"
"Very important",2,1,2,40002,3,3,1,2092.95647621001,"Other Christian","Republican"
"Somewhat important",1,2,1,10000,2,5,1,6000.34992751927,"Catholic","Republican"
"Extremely important",1,1,1,100000,2,1,3,9299.59555736062,"Religiously Unaffiliated","Independent"
"Somewhat important",1,1,1,10000,2,2,2,4128.34484724876,"Catholic","Democrat"
"Not at all important",2,1,2,100000,4,4,2,11430.2505125142,"Religiously Unaffiliated","Democrat"
"Very important",2,2,5,1100,1,4,2,28839.3143075859,"Evangelical Protestant","Democrat"
"Extremely important",1,1,1,1200,1,3,2,2252.0121432951,"Mainline Protestant","Democrat"
"Somewhat important",2,3,2,1200,3,2,3,2890.21715224571,"Mainline Protestant","Independent"
"Not too important",1,1,1,100000,4,4,2,817.898763185846,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,2,1,70000,3,4,2,802.689313534872,"Buddhist","Democrat"
"Very important",1,1,1,1100,1,2,1,3720.26934452469,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,10000,1,5,2,4523.22238174905,"Catholic","Democrat"
"Very important",1,1,1,1100,2,2,1,2264.79437622027,"Evangelical Protestant","Republican"
"Somewhat important",3,2,2,10000,3,3,3,2207.5816854245,"Catholic","Independent"
"Not at all important",1,1,1,100000,4,5,2,14149.7711361712,"Religiously Unaffiliated","Democrat"
"Not at all important",2,1,2,100000,4,3,1,6608.82282480538,"Religiously Unaffiliated","Republican"
"Not at all important",1,2,1,100000,4,4,2,1929.60906556404,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,30000,1,1,4,5481.14788069186,"Orthodox Christian","Something else"
"Somewhat important",2,1,2,100000,2,5,2,7349.85498006651,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,1,100000,4,5,2,5714.97294059464,"Religiously Unaffiliated","Democrat"
"Very important",1,1,1,20000,1,3,2,4661.76015574686,"Mormon","Democrat"
"Extremely important",1,1,3,20000,1,1,1,1868.71118899285,"Mormon","Republican"
"Very important",3,1,1,100000,2,2,2,7780.59442980512,"Religiously Unaffiliated","Democrat"
"Not too important",2,2,2,100000,4,3,3,4598.60849919837,"Religiously Unaffiliated","Independent"
"Extremely important",2,2,3,1200,1,2,1,1918.34902211387,"Mainline Protestant","Republican"
"Very important",1,2,3,1200,3,2,1,10575.6031722877,"Mainline Protestant","Republican"
"Extremely important",2,2,3,1100,1,1,3,2454.71466718922,"Evangelical Protestant","Independent"
"Not at all important",2,1,2,100000,4,4,2,829.767696941652,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,1,90002,4,5,2,10297.8097875731,"Other Faiths","Democrat"
"Extremely important",1,1,2,1100,1,3,2,8486.31243791297,"Evangelical Protestant","Democrat"
"Extremely important",1,1,2,1100,1,3,2,4259.44900776748,"Evangelical Protestant","Democrat"
"Extremely important",1,1,3,40001,2,2,4,1067.12024595301,"Jehovah's Witness","Something else"
"Very important",1,1,2,10000,2,2,1,3068.48335714428,"Catholic","Republican"
"Not at all important",2,2,1,100000,4,5,2,5228.82593114414,"Religiously Unaffiliated","Democrat"
"Very important",1,2,2,1100,2,3,4,11042.8722776417,"Evangelical Protestant","Something else"
"Somewhat important",3,1,4,1200,2,2,1,6502.65953019754,"Mainline Protestant","Republican"
"Somewhat important",2,1,3,1200,3,3,4,6325.12492739032,"Mainline Protestant","Something else"
"Somewhat important",2,2,2,10000,3,3,2,5559.41463782243,"Catholic","Democrat"
"Very important",1,1,2,1200,3,3,1,3863.36297942864,"Mainline Protestant","Republican"
"Not too important",2,1,1,100000,3,4,2,354.734180328859,"Religiously Unaffiliated","Democrat"
"Very important",2,2,5,1100,2,3,1,6826.35962834057,"Evangelical Protestant","Republican"
"Very important",1,2,1,1200,3,3,3,4534.47584362889,"Mainline Protestant","Independent"
"Extremely important",1,1,1,1100,1,3,3,3483.18122125591,"Evangelical Protestant","Independent"
"Somewhat important",2,1,2,10000,3,2,1,37127.1684477465,"Catholic","Republican"
"Somewhat important",1,2,2,100000,2,3,4,14475.8550842746,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,1,10000,1,3,2,5925.76224558454,"Catholic","Democrat"
"Very important",1,1,1,50000,3,4,2,2091.07902226891,"Jewish","Democrat"
"Somewhat important",2,1,3,10000,3,3,3,2903.39244517341,"Catholic","Independent"
"Not at all important",1,2,2,100000,4,3,4,14619.2964838885,"Religiously Unaffiliated","Something else"
"Very important",1,1,3,100000,4,2,1,3461.9030687468,"Religiously Unaffiliated","Republican"
"Extremely important",1,1,2,1100,1,2,4,2344.21924765914,"Evangelical Protestant","Something else"
"Extremely important",1,1,1,1100,3,3,2,8698.13442224371,"Evangelical Protestant","Democrat"
"Very important",1,1,1,1300,2,2,2,2902.78816684916,"Historically Black Protestant","Democrat"
"Very important",2,2,2,100000,2,3,4,10046.4461936069,"Religiously Unaffiliated","Something else"
"Very important",1,1,2,10000,2,3,3,802.247419019148,"Catholic","Independent"
"Not too important",2,2,3,100000,4,4,2,3297.80286980794,"Religiously Unaffiliated","Democrat"
"Very important",1,1,1,10000,2,4,2,1326.91328425483,"Catholic","Democrat"
"Extremely important",1,1,1,1100,2,2,1,14715.6753861253,"Evangelical Protestant","Republican"
"Very important",2,2,2,1200,1,4,2,59995.0139970311,"Mainline Protestant","Democrat"
"Extremely important",1,1,1,1100,3,3,2,5983.26630561235,"Evangelical Protestant","Democrat"
"Extremely important",3,2,1,1100,1,1,3,4311.24243127296,"Evangelical Protestant","Independent"
"Somewhat important",2,1,2,100000,2,3,3,11581.8294912093,"Religiously Unaffiliated","Independent"
"Not too important",1,1,1,100000,4,5,2,2593.95111036148,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,2,2,100000,4,3,2,2780.957759766,"Religiously Unaffiliated","Democrat"
"Somewhat important",3,1,2,1100,3,3,2,4864.46602205892,"Evangelical Protestant","Democrat"
"Not too important",2,2,2,100000,3,4,3,968.939687212503,"Religiously Unaffiliated","Independent"
"Very important",2,2,3,10000,2,2,1,5521.17292937756,"Catholic","Republican"
"Extremely important",1,1,1,100000,2,3,2,15442.6127569385,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,1200,2,3,2,5023.50654464759,"Mainline Protestant","Democrat"
"Extremely important",3,2,3,1100,1,1,1,5687.18436116362,"Evangelical Protestant","Republican"
"Not at all important",1,1,1,100000,4,3,2,3751.1864176708,"Religiously Unaffiliated","Democrat"
"Somewhat important",3,3,2,50000,3,3,3,3635.46012449359,"Jewish","Independent"
"Not too important",1,1,2,1200,3,4,4,1017.01428324759,"Mainline Protestant","Something else"
"Somewhat important",2,2,2,10000,2,3,2,5687.06932089165,"Catholic","Democrat"
"Very important",2,2,2,1100,1,2,3,8782.86473493958,"Evangelical Protestant","Independent"
"Somewhat important",3,3,3,1200,2,2,3,2239.04373042515,"Mainline Protestant","Independent"
"Somewhat important",1,1,1,50000,2,3,2,4359.79847114253,"Jewish","Democrat"
"Very important",1,1,2,10000,2,1,1,2037.52262611497,"Catholic","Republican"
"Somewhat important",1,1,1,100000,4,2,1,7630.04526737389,"Religiously Unaffiliated","Republican"
"Not too important",2,1,2,100000,4,3,1,6283.12600055926,"Religiously Unaffiliated","Republican"
"Extremely important",1,1,1,1100,1,4,2,382.536826128512,"Evangelical Protestant","Democrat"
"Not at all important",1,2,1,100000,4,5,2,7857.23432628982,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,3,100000,3,4,1,2980.59840229108,"Religiously Unaffiliated","Republican"
"Somewhat important",1,1,4,60000,1,3,3,17208.5222554489,"Muslim","Independent"
"Extremely important",1,3,2,10000,2,1,1,3775.49668908837,"Catholic","Republican"
"Extremely important",1,1,2,20000,1,1,1,2930.34767004308,"Mormon","Republican"
"Not at all important",1,1,1,100000,4,5,2,3990.73727438,"Religiously Unaffiliated","Democrat"
"Very important",1,2,1,1200,2,3,3,2884.02188628593,"Mainline Protestant","Independent"
"Not at all important",1,1,1,100000,4,3,3,5469.66336296348,"Religiously Unaffiliated","Independent"
"Very important",4,1,4,1100,4,2,4,6888.13936609306,"Evangelical Protestant","Something else"
"Very important",2,2,2,1100,2,2,1,8227.39048919507,"Evangelical Protestant","Republican"
"Somewhat important",3,3,3,100000,2,3,3,5603.78465857647,"Religiously Unaffiliated","Independent"
"Somewhat important",1,3,3,60000,2,1,1,3920.6693765321,"Muslim","Republican"
"Somewhat important",1,1,2,10000,2,3,3,10998.2289268228,"Catholic","Independent"
"Not too important",1,2,1,100000,3,4,2,1160.51350607529,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,2,100000,3,1,1,927.787034460757,"Religiously Unaffiliated","Republican"
"Somewhat important",1,1,2,100000,3,4,3,7804.13837115819,"Religiously Unaffiliated","Independent"
"Not too important",3,2,3,10000,2,3,3,45724.0786165855,"Catholic","Independent"
"Very important",1,1,2,10000,2,4,2,12942.7287303513,"Catholic","Democrat"
"Very important",1,1,1,10000,1,3,3,1411.3862872375,"Catholic","Independent"
"Extremely important",1,1,1,10000,2,3,2,19090.100204303,"Catholic","Democrat"
"Not too important",1,1,1,100000,4,4,4,3306.40612638411,"Religiously Unaffiliated","Something else"
"Very important",1,1,3,1100,4,2,3,4480.57439827252,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,4,3,6814.58873799685,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,1,100000,1,4,3,14987.0879356981,"Religiously Unaffiliated","Independent"
"Not at all important",1,1,1,80000,3,3,2,15009.2510345114,"Hindu","Democrat"
"Somewhat important",1,2,2,1100,2,3,3,3235.81881732924,"Evangelical Protestant","Independent"
"Not at all important",1,1,2,60000,2,3,3,7182.83162143448,"Muslim","Independent"
"Somewhat important",2,2,2,10000,1,3,1,5266.74891390716,"Catholic","Republican"
"Not at all important",1,1,1,100000,4,4,2,1903.5302430831,"Religiously Unaffiliated","Democrat"
"Not too important",1,2,2,1200,3,2,1,1220.30249228024,"Mainline Protestant","Republican"
"Somewhat important",2,2,2,10000,2,2,1,8607.86713994851,"Catholic","Republican"
"Somewhat important",1,2,2,1300,3,3,2,16838.6537369057,"Historically Black Protestant","Democrat"
"Very important",2,2,2,10000,3,3,3,5526.9717175644,"Catholic","Independent"
"Very important",1,1,1,70000,2,5,2,4268.07507161158,"Buddhist","Democrat"
"Extremely important",1,1,2,1100,2,2,1,7754.60952530554,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,1200,1,2,1,8382.68041284393,"Mainline Protestant","Republican"
"Extremely important",2,2,3,1100,2,2,1,2576.25485461537,"Evangelical Protestant","Republican"
"Very important",3,2,3,10000,2,3,2,12633.5035006207,"Catholic","Democrat"
"Very important",3,1,2,40002,1,1,2,6176.10374890187,"Other Christian","Democrat"
"Somewhat important",1,1,1,100000,4,4,2,4141.84123056509,"Religiously Unaffiliated","Democrat"
"Not too important",3,2,2,100000,2,3,4,5277.24313435079,"Religiously Unaffiliated","Something else"
"Somewhat important",2,1,3,100000,3,3,3,3681.08154610987,"Religiously Unaffiliated","Independent"
"Not too important",1,1,1,1200,3,4,2,6493.79951842426,"Mainline Protestant","Democrat"
"Somewhat important",2,1,3,10000,2,3,1,9579.90978531459,"Catholic","Republican"
"Extremely important",1,2,1,10000,2,3,2,3457.05320519372,"Catholic","Democrat"
"Not at all important",2,2,4,100000,4,3,3,14300.3897614375,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,1,1100,2,2,1,24856.3424113589,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,1200,2,2,1,9411.26961483441,"Mainline Protestant","Republican"
"Very important",2,2,2,10000,2,4,2,4432.37153465572,"Catholic","Democrat"
"Very important",1,2,2,100000,3,2,1,5487.74294868601,"Religiously Unaffiliated","Republican"
"Not too important",2,2,2,100000,4,4,3,3355.50059460431,"Religiously Unaffiliated","Independent"
"Not too important",1,1,1,10000,3,3,4,8856.97166134779,"Catholic","Something else"
"Extremely important",1,2,2,1100,2,1,3,15178.0162129089,"Evangelical Protestant","Independent"
"Not at all important",2,2,2,100000,4,5,3,19024.6613260709,"Religiously Unaffiliated","Independent"
"Extremely important",2,2,2,1100,1,2,1,867.549686924204,"Evangelical Protestant","Republican"
"Very important",2,1,1,1200,2,3,2,7559.27059138863,"Mainline Protestant","Democrat"
"Very important",1,1,2,50000,1,4,2,3233.28643885659,"Jewish","Democrat"
"Somewhat important",3,2,3,100000,2,3,2,4587.4214520962,"Religiously Unaffiliated","Democrat"
"Very important",2,2,1,1100,2,3,3,25115.7445146613,"Evangelical Protestant","Independent"
"Not at all important",1,3,1,100000,4,3,4,4400.6774375173,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,2,1100,1,1,1,8352.32032426397,"Evangelical Protestant","Republican"
"Not too important",2,1,2,1200,4,3,2,8045.66665295592,"Mainline Protestant","Democrat"
"Not at all important",2,1,1,100000,4,4,3,6520.76486035844,"Religiously Unaffiliated","Independent"
"Very important",1,1,2,1200,3,3,2,12318.6025747551,"Mainline Protestant","Democrat"
"Not at all important",2,1,2,100000,4,4,2,2100.77685755406,"Religiously Unaffiliated","Democrat"
"Extremely important",2,2,3,10000,3,1,1,16117.7476998297,"Catholic","Republican"
"Somewhat important",1,1,2,1100,2,2,3,23086.8368633249,"Evangelical Protestant","Independent"
"Not too important",2,2,4,1200,3,3,3,1209.68506314324,"Mainline Protestant","Independent"
"Somewhat important",1,1,2,1200,3,2,1,10827.7589786379,"Mainline Protestant","Republican"
"Extremely important",3,2,3,1300,2,3,2,24087.2394003091,"Historically Black Protestant","Democrat"
"Very important",2,2,3,100000,2,1,4,13331.3836029738,"Religiously Unaffiliated","Something else"
"Not at all important",1,1,1,100000,4,2,3,1937.50346225694,"Religiously Unaffiliated","Independent"
"Not too important",1,2,1,1200,2,5,2,6967.2505009376,"Mainline Protestant","Democrat"
"Very important",1,1,1,10000,1,3,3,5325.68513201771,"Catholic","Independent"
"Very important",1,2,2,10000,2,3,3,1379.11738196597,"Catholic","Independent"
"Very important",2,2,2,1100,2,2,1,1771.19847895372,"Evangelical Protestant","Republican"
"Not at all important",1,2,3,100000,4,4,2,3596.52278874937,"Religiously Unaffiliated","Democrat"
"Not at all important",2,2,2,100000,4,4,2,1561.90658470411,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,1200,1,4,2,5980.96082284516,"Mainline Protestant","Democrat"
"Extremely important",1,1,1,1300,1,3,2,4954.38091176227,"Historically Black Protestant","Democrat"
"Very important",2,2,3,1200,2,2,1,9400.87621505793,"Mainline Protestant","Republican"
"Very important",2,1,1,1100,2,1,2,6199.52285933616,"Evangelical Protestant","Democrat"
"Somewhat important",1,1,1,100000,4,3,3,2505.5134115762,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,2,10000,2,2,1,5725.86662642785,"Catholic","Republican"
"Somewhat important",1,2,2,1200,2,3,3,1285.1522436037,"Mainline Protestant","Independent"
"Not at all important",1,1,1,100000,4,3,4,6437.56524302743,"Religiously Unaffiliated","Something else"
"Somewhat important",1,1,2,50000,3,3,2,549.005707625428,"Jewish","Democrat"
"Somewhat important",1,1,2,1100,2,2,2,3160.88233062674,"Evangelical Protestant","Democrat"
"Extremely important",2,2,2,1100,2,3,3,12896.2391051662,"Evangelical Protestant","Independent"
"Very important",2,1,2,10000,3,3,2,9118.49723637153,"Catholic","Democrat"
"Very important",1,1,2,1100,2,3,1,5406.36244626833,"Evangelical Protestant","Republican"
"Very important",2,2,2,10000,2,3,3,2023.42926074411,"Catholic","Independent"
"Not too important",2,2,2,100000,3,2,1,5221.41866289448,"Religiously Unaffiliated","Republican"
"Not too important",2,1,4,1300,2,3,2,7781.95110692845,"Historically Black Protestant","Democrat"
"Extremely important",1,1,1,1200,2,2,2,16683.4698157596,"Mainline Protestant","Democrat"
"Very important",2,2,2,10000,2,3,3,19811.0051711914,"Catholic","Independent"
"Extremely important",2,1,2,20000,1,3,1,3627.06598849435,"Mormon","Republican"
"Very important",2,2,2,80000,2,4,2,5890.71872302224,"Hindu","Democrat"
"Somewhat important",2,1,2,10000,2,2,1,2157.28749575556,"Catholic","Republican"
"Somewhat important",1,2,1,10000,2,4,2,829.767696941652,"Catholic","Democrat"
"Very important",2,2,3,1100,2,3,2,13563.9588371282,"Evangelical Protestant","Democrat"
"Somewhat important",2,2,1,1200,3,3,3,2744.96989646053,"Mainline Protestant","Independent"
"Extremely important",1,1,1,1200,1,3,1,4020.01862114448,"Mainline Protestant","Republican"
"Somewhat important",2,1,3,1200,2,3,3,3797.66105762143,"Mainline Protestant","Independent"
"Very important",1,1,2,1200,2,3,4,1255.67496487364,"Mainline Protestant","Something else"
"Somewhat important",2,1,2,100000,4,3,3,9577.29694122868,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,1,1100,1,2,1,15069.9610970705,"Evangelical Protestant","Republican"
"Extremely important",1,1,2,1300,2,2,4,4225.05518650139,"Historically Black Protestant","Something else"
"Extremely important",1,1,1,1100,1,2,1,5983.61338554309,"Evangelical Protestant","Republican"
"Somewhat important",1,1,1,100000,4,3,2,2029.23273421524,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,10000,1,2,1,479.735213737918,"Catholic","Republican"
"Extremely important",2,2,2,10000,1,4,2,1802.49913964925,"Catholic","Democrat"
"Extremely important",1,2,2,1100,3,2,3,3630.04600911045,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,100000,3,1,4,37078.1736221865,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,1,1200,3,2,1,1639.67657586902,"Mainline Protestant","Republican"
"Somewhat important",1,1,2,1100,3,3,4,11483.6321322094,"Evangelical Protestant","Something else"
"Extremely important",1,3,1,1100,2,1,1,5874.13508072449,"Evangelical Protestant","Republican"
"Very important",2,2,2,10000,2,4,2,3983.86340766954,"Catholic","Democrat"
"Very important",2,1,3,1100,3,2,1,3904.6043531919,"Evangelical Protestant","Republican"
"Somewhat important",1,1,2,10000,3,3,1,6092.51928445417,"Catholic","Republican"
"Extremely important",1,1,1,10000,2,4,2,2975.82280059742,"Catholic","Democrat"
"Very important",2,2,2,1200,3,4,2,5161.00685367436,"Mainline Protestant","Democrat"
"Very important",1,1,3,10000,2,2,1,8627.38768398055,"Catholic","Republican"
"Very important",2,2,3,1100,3,2,3,8559.99406432805,"Evangelical Protestant","Independent"
"Very important",2,2,3,10000,2,3,1,3281.31293303586,"Catholic","Republican"
"Extremely important",2,2,3,1100,2,1,1,2155.65822893312,"Evangelical Protestant","Republican"
"Very important",2,2,2,1200,1,2,1,1589.4385878443,"Mainline Protestant","Republican"
"Not too important",1,1,1,100000,3,4,2,8399.49141239958,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,1,100000,4,5,2,6869.6093788347,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,100000,4,4,2,5804.07287864246,"Religiously Unaffiliated","Democrat"
"Extremely important",1,2,3,1100,1,5,1,4538.34111204229,"Evangelical Protestant","Republican"
"Very important",1,1,3,1300,2,3,2,14393.897413277,"Historically Black Protestant","Democrat"
"Very important",2,2,3,1100,2,2,3,4892.11462312715,"Evangelical Protestant","Independent"
"Not too important",1,2,1,100000,3,5,2,1099.17304054384,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,3,1100,1,1,1,5389.921745697,"Evangelical Protestant","Republican"
"Not at all important",2,2,2,100000,4,4,2,2805.69945432855,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,2,10000,2,3,1,2960.14991107881,"Catholic","Republican"
"Extremely important",2,2,2,20000,1,2,1,2845.83858448441,"Mormon","Republican"
"Not at all important",1,1,1,50000,4,5,2,6361.73144047835,"Jewish","Democrat"
"Not at all important",2,1,1,100000,4,5,4,1984.23963451392,"Religiously Unaffiliated","Something else"
"Not at all important",1,2,1,10000,3,4,2,3809.79473296492,"Catholic","Democrat"
"Extremely important",1,1,1,10000,1,3,1,3871.258647829,"Catholic","Republican"
"Not too important",2,2,1,100000,4,5,2,1914.9735552775,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,2,100000,3,3,4,9619.24319037115,"Religiously Unaffiliated","Something else"
"Extremely important",2,1,3,1100,2,1,1,2153.13881629609,"Evangelical Protestant","Republican"
"Not too important",1,1,1,100000,4,3,3,11279.1927817645,"Religiously Unaffiliated","Independent"
"Extremely important",1,3,1,1200,1,5,2,4524.87309937792,"Mainline Protestant","Democrat"
"Very important",1,1,2,1100,2,2,1,1803.41106269849,"Evangelical Protestant","Republican"
"Not too important",2,2,2,100000,3,3,1,884.708106525187,"Religiously Unaffiliated","Republican"
"Very important",3,2,3,1200,2,3,4,11980.6226172425,"Mainline Protestant","Something else"
"Not too important",2,1,1,100000,3,5,4,2014.09338810782,"Religiously Unaffiliated","Something else"
"Not too important",1,2,1,100000,4,3,3,4529.68309690913,"Religiously Unaffiliated","Independent"
"Not at all important",1,2,1,80000,3,4,2,2408.91067580538,"Hindu","Democrat"
"Not too important",1,1,2,10000,2,3,3,5682.22822135899,"Catholic","Independent"
"Somewhat important",1,2,2,100000,2,3,3,18702.3118327263,"Religiously Unaffiliated","Independent"
"Not too important",3,3,3,1200,3,3,3,9898.279612205,"Mainline Protestant","Independent"
"Very important",2,2,2,10000,1,2,1,20157.5263291386,"Catholic","Republican"
"Extremely important",2,2,2,1100,2,2,1,2239.04373042515,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,1200,1,5,2,3174.83127276282,"Mainline Protestant","Democrat"
"Not too important",2,3,1,100000,3,5,2,12828.290533518,"Religiously Unaffiliated","Democrat"
"Somewhat important",3,2,2,50000,3,4,2,4398.7066767104,"Jewish","Democrat"
"Somewhat important",1,1,1,100000,4,2,3,2280.38176134188,"Religiously Unaffiliated","Independent"
"Very important",2,2,2,10000,3,3,3,2870.65698945319,"Catholic","Independent"
"Extremely important",1,1,1,1100,1,1,1,7819.97732052372,"Evangelical Protestant","Republican"
"Somewhat important",1,1,1,1100,2,2,1,2723.76907756532,"Evangelical Protestant","Republican"
"Not at all important",1,1,1,100000,4,1,4,9207.00624008084,"Religiously Unaffiliated","Something else"
"Not at all important",1,1,1,100000,4,5,2,6548.44516607972,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,1,3,1200,2,3,3,2572.42778353356,"Mainline Protestant","Independent"
"Very important",1,1,1,90002,4,4,4,2105.50539799747,"Other Faiths","Something else"
"Somewhat important",1,2,2,1100,1,3,3,8826.63447477887,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,1100,1,1,3,16779.4999197139,"Evangelical Protestant","Independent"
"Very important",2,2,2,1200,2,3,2,4105.25393128257,"Mainline Protestant","Democrat"
"Not too important",2,2,2,100000,3,4,2,1827.92729517205,"Religiously Unaffiliated","Democrat"
"Somewhat important",3,2,3,100000,3,2,1,11490.6754966831,"Religiously Unaffiliated","Republican"
"Very important",1,3,1,100000,2,5,2,5445.1968142064,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,2,1300,2,4,2,15399.8966721761,"Historically Black Protestant","Democrat"
"Not too important",1,1,1,1200,2,3,1,2435.30881993472,"Mainline Protestant","Republican"
"Very important",1,1,2,1100,2,3,1,4498.20455547692,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,1200,2,3,1,377.722206397803,"Mainline Protestant","Republican"
"Not too important",1,1,1,100000,3,5,3,819.695611825575,"Religiously Unaffiliated","Independent"
"Somewhat important",1,1,1,10000,3,3,3,8998.11280335618,"Catholic","Independent"
"Extremely important",2,1,2,1300,2,1,2,13170.7721444398,"Historically Black Protestant","Democrat"
"Extremely important",1,1,1,10000,2,2,1,5389.921745697,"Catholic","Republican"
"Very important",1,1,3,10000,2,3,2,6136.85062447183,"Catholic","Democrat"
"Somewhat important",2,2,2,1100,3,2,3,8295.68349523419,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,10000,2,4,2,5121.25920526324,"Catholic","Democrat"
"Somewhat important",2,2,3,1200,2,3,2,7269.8235790648,"Mainline Protestant","Democrat"
"Very important",2,2,3,1100,2,2,1,1618.67806525322,"Evangelical Protestant","Republican"
"Extremely important",2,1,2,1100,3,2,1,17809.8898308773,"Evangelical Protestant","Republican"
"Somewhat important",1,1,2,100000,4,3,3,6657.83384132165,"Religiously Unaffiliated","Independent"
"Not at all important",1,1,1,100000,4,4,3,5287.10285281382,"Religiously Unaffiliated","Independent"
"Not too important",2,2,2,100000,3,5,2,2688.04370097218,"Religiously Unaffiliated","Democrat"
